time,X
16.19,11.4231913100752
16.2,12.100030497866
16.21,12.7582496647323
16.22,13.3815593508382
16.23,13.9517679253685
16.24,14.449494028989
16.25,14.8551914650732
16.26,15.1504400233542
16.27,15.3193910387289
16.28,15.3501968271872
16.29,15.2362182620255
16.3,14.9768119311866
16.31,14.5775539564323
16.32,14.0498500506876
16.33,13.4099972117196
16.34,12.6778477460461
16.35,11.8752695296375
16.36,11.0246281892866
16.37,10.1474531232623
16.38,9.26340184162579
16.39,8.38956346792372
16.4,7.5400906451618
16.41,6.72610974153053
16.42,5.95584211641985
16.43,5.23486499536745
16.44,4.56645875764294
16.45,3.95197883078791
16.46,3.39122664065993
16.47,2.88279883636845
16.48,2.42439412249962
16.49,2.01307808528268
16.5,1.64550300309728
16.51,1.31808587500673
16.52,1.027149082375
16.53,0.7690273785194
16.54,0.540147300789596
16.55,0.337083430987668
16.56,0.156595562066863
16.57,-0.00434915413218187
16.58,-0.148566001735411
16.59,-0.278651702045667
16.6,-0.396990263153218
16.61,-0.505763798958207
16.62,-0.606966949761095
16.63,-0.702423643560063
16.64,-0.793805243567125
16.65,-0.882649500769549
16.66,-0.970379568349404
16.67,-1.05832296835189
16.68,-1.14773007431717
16.69,-1.23979195171639
16.7,-1.33565753131721
16.71,-1.43645001633975
16.72,-1.5432825158428
16.73,-1.65727290774528
16.74,-1.77955792773396
16.75,-1.91130647337728
16.76,-2.05373208123057
16.77,-2.20810448803119
16.78,-2.37576012080485
16.79,-2.55811126967178
16.8,-2.75665357732753
16.81,-2.97297132359311
16.82,-3.20873978417804
16.83,-3.46572369077867
16.84,-3.74577050492652
16.85,-4.05079683107581
16.86,-4.38276581948536
16.87,-4.74365293702116
16.88,-5.13539694735628
16.89,-5.55983100368434
16.9,-6.01859112045927
16.91,-6.51299591434961
16.92,-7.04389207363093
16.93,-7.61146081623373
16.94,-8.21498211566399
16.95,-8.85255583500194
16.96,-9.52078418809799
16.97,-10.2144278100612
16.98,-10.9260586301898
16.99,-11.6457468959065
17,-12.3608357255649
17.01,-13.0558717761061
17.02,-13.7127702515188
17.03,-14.3112899369929
17.04,-14.8298721493285
17.05,-15.246851561499
17.06,-15.5419779596548
17.07,-15.6981067953753
17.08,-15.7028436018967
17.09,-15.5498890065635
17.1,-15.239848710798
17.11,-14.7803517175738
17.12,-14.1854399679603
17.13,-13.4743514412745
17.14,-12.6698716032987
17.15,-11.7965329928287
17.16,-10.8789037681028
17.17,-9.94015069721988
17.18,-9.00098303057061
17.19,-8.07900048300977
17.2,-7.18840510162554
17.21,-6.34002683806884
17.22,-5.54153824896396
17.23,-4.79781509319379
17.24,-4.11135430489005
17.25,-3.48270779051408
17.26,-2.91089591610875
17.27,-2.39378077675899
17.28,-1.92838927154865
17.29,-1.51118502774189
17.3,-1.13828876966556
17.31,-0.805652967439404
17.32,-0.509195996763541
17.33,-0.244903108756364
17.34,-0.00889608941188984
17.35,0.2025143601619
17.36,0.392803443333095
17.37,0.565214572166191
17.38,0.722755877191327
17.39,0.868205188006296
17.4,1.00412111762842
17.41,1.13285841327484
17.42,1.25658709971936
17.43,1.37731207682408
17.44,1.49689446294347
17.45,1.61707330092262
17.46,1.73948692428509
17.47,1.86569361749274
17.48,1.99719151131774
17.49,2.13543731728408
17.5,2.28186376875572
17.51,2.43789559654431
17.52,2.60496383796432
17.53,2.78451811673452
17.54,2.97803678452236
17.55,3.18703435359817
17.56,3.41306560559266
17.57,3.65772566565426
17.58,3.92264504329531
17.59,4.20947833971979
17.6,4.51988501717582
17.61,4.85550024816894
17.62,5.2178934553296
17.63,5.60851174579633
17.64,6.0286050814666
17.65,6.47912979511471
17.66,6.96062708848368
17.67,7.47307361679504
17.68,8.01570242565377
17.69,8.58679467612773
17.7,9.18344612864154
17.71,9.8013175914969
17.72,10.4343856786388
17.73,11.0747186571589
17.74,11.7123144511278
17.75,12.3350427077607
17.76,12.9287434971876
17.77,13.4775316684483
17.78,13.9643467540018
17.79,14.3717603084141
17.8,14.6830147925427
17.81,14.8832182450273
17.82,14.9605702069566
17.83,14.907460554265
17.84,14.7212761834699
17.85,14.4047816280887
17.86,13.9660025126542
17.87,13.417623984166
17.88,12.7759957308853
17.89,12.0598932159572
17.9,11.2892059451265
17.91,10.4837060065492
17.92,9.66202118226652
17.93,8.84087239944852
17.94,8.03459267620406
17.95,7.25490367729045
17.96,6.51090470305551
17.97,5.80921774143246
17.98,5.15423622981762
17.99,4.5484270335409
18,3.99265311527702
18.01,3.4864885638335
18.02,3.02851021636072
18.03,2.6165562296743
18.04,2.24794794183369
18.05,1.91967456562381
18.06,1.6285435072775
18.07,1.37129903812706
18.08,1.14471274241159
18.09,0.945651288190495
18.1,0.771124597453368
18.11,0.618318138455703
18.12,0.484611630455451
18.13,0.367588581875887
18.14,0.265038080078919
18.15,0.17495009531873
18.16,0.0955067762478825
18.17,0.0250709321947815
18.18,-0.0378274705368386
18.19,-0.0945059723792729
18.2,-0.146144695378447
18.21,-0.193801557427237
18.22,-0.23842719485223
18.23,-0.280879316207125
18.24,-0.32193643361921
18.25,-0.362310859991737
